filename,width,height,class,xmin,ymin,xmax,ymax
100000703.bmp,1189,831,ship,189,45,260,172
100000703.bmp,1189,831,ship,1069,129,1123,212
100000703.bmp,1189,831,ship,931,207,985,281
100000703.bmp,1189,831,ship,908,500,974,586
100000703.bmp,1189,831,ship,862,633,917,719
100000704.bmp,1110,787,ship,231,256,592,529
100000705.bmp,1182,825,ship,129,228,165,357
100000705.bmp,1182,825,ship,124,383,163,543
100000709.bmp,1182,827,ship,608,717,728,809
100000709.bmp,1182,827,ship,870,598,1104,788
100000709.bmp,1182,827,ship,106,72,603,467
100000709.bmp,1182,827,ship,221,207,714,607
100000711.bmp,1190,830,ship,148,324,923,492
100000711.bmp,1190,830,ship,115,525,880,737
100000712.bmp,1145,810,ship,197,460,365,516
100000712.bmp,1145,810,ship,422,490,586,540
100000714.bmp,1128,808,ship,571,430,792,648
100000714.bmp,1128,808,ship,903,667,951,699
100000715.bmp,1161,810,ship,210,194,889,431
100000715.bmp,1161,810,ship,158,381,844,631
100000717.bmp,1153,808,ship,684,228,778,274
100000717.bmp,1153,808,ship,795,260,889,304
100000717.bmp,1153,808,ship,921,290,995,322
100000717.bmp,1153,808,ship,433,433,842,573
100000717.bmp,1153,808,ship,404,541,807,686
100000719.bmp,1174,812,ship,727,430,893,497
100000719.bmp,1174,812,ship,944,370,1073,424
100000719.bmp,1174,812,ship,216,569,438,671
100000719.bmp,1174,812,ship,338,623,428,666
100000719.bmp,1174,812,ship,396,639,444,665
100000719.bmp,1174,812,ship,369,155,1015,399
100000721.bmp,981,756,ship,478,317,553,513
100000721.bmp,981,756,ship,530,131,564,226
100000723.bmp,1169,805,ship,211,270,729,726
100000723.bmp,1169,805,ship,334,115,870,564
100000724.bmp,1126,806,ship,501,562,729,759
100000724.bmp,1126,806,ship,308,186,379,244
100000724.bmp,1126,806,ship,368,240,422,293
100000724.bmp,1126,806,ship,173,83,224,125
100000724.bmp,1126,806,ship,222,120,264,160
100000726.bmp,1181,824,ship,229,427,409,798
100000726.bmp,1181,824,ship,395,63,555,406
100000727.bmp,1183,827,ship,294,65,419,129
100000727.bmp,1183,827,ship,293,89,419,153
100000727.bmp,1183,827,ship,589,162,894,309
100000727.bmp,1183,827,ship,1014,344,1154,419
100000727.bmp,1183,827,ship,58,248,329,440
100000727.bmp,1183,827,ship,24,277,316,477
100000727.bmp,1183,827,ship,395,508,841,808
100000730.bmp,1186,829,ship,779,80,856,120
100000730.bmp,1186,829,ship,782,115,853,153
100000730.bmp,1186,829,ship,526,165,712,279
100000730.bmp,1186,829,ship,549,204,736,311
100000733.bmp,1142,815,ship,622,109,989,512
100000734.bmp,1168,800,ship,262,430,908,591
100000737.bmp,1110,811,ship,658,428,904,765
100000738.bmp,1058,803,ship,577,443,706,626
100000738.bmp,1058,803,ship,320,1,495,242
100000741.bmp,1157,823,ship,96,131,301,753
100000741.bmp,1157,823,ship,186,173,395,716
100000741.bmp,1157,823,ship,438,63,681,740
100000742.bmp,1102,782,ship,447,416,890,711
100000743.bmp,1136,796,ship,244,152,676,446
100000744.bmp,1148,819,ship,257,86,717,470
100000748.bmp,1162,810,ship,22,454,351,533
100000748.bmp,1162,810,ship,368,491,690,558
100000748.bmp,1162,810,ship,366,526,689,603
100000748.bmp,1162,810,ship,689,574,1057,673
100000748.bmp,1162,810,ship,156,136,485,177
100000748.bmp,1162,810,ship,157,180,485,222
100000748.bmp,1162,810,ship,501,144,820,194
100000748.bmp,1162,810,ship,837,155,1152,202
100000749.bmp,1175,815,ship,30,610,370,642
100000749.bmp,1175,815,ship,718,14,1007,310
100000749.bmp,1175,815,ship,427,344,672,594
100000750.bmp,1170,816,ship,68,173,361,476
100000750.bmp,1170,816,ship,482,72,798,373
100000750.bmp,1170,816,ship,818,393,1095,661
100000752.bmp,1143,813,ship,739,244,793,322
100000752.bmp,1143,813,ship,753,260,816,332
100000752.bmp,1143,813,ship,678,356,743,423
100000752.bmp,1143,813,ship,972,70,1056,174
100000753.bmp,1191,815,ship,161,479,291,592
100000753.bmp,1191,815,ship,738,217,936,408
100000753.bmp,1191,815,ship,939,391,1098,476
100000753.bmp,1191,815,ship,620,533,772,671
100000753.bmp,1191,815,ship,773,408,883,508
100000753.bmp,1191,815,ship,482,78,530,102
100000753.bmp,1191,815,ship,67,321,105,345
100000754.bmp,1100,816,ship,230,189,323,277
100000754.bmp,1100,816,ship,322,146,404,172
100000754.bmp,1100,816,ship,799,635,857,687
100000755.bmp,1172,821,ship,550,41,739,324
100000755.bmp,1172,821,ship,363,339,550,607
100000755.bmp,1172,821,ship,19,590,69,649
100000755.bmp,1172,821,ship,35,514,93,562
100000755.bmp,1172,821,ship,100,471,156,522
100000756.bmp,1179,809,ship,38,121,244,304
100000756.bmp,1179,809,ship,276,307,485,493
100000756.bmp,1179,809,ship,245,328,459,520
100000756.bmp,1179,809,ship,1024,379,1179,430
100000756.bmp,1179,809,ship,475,535,680,731
100000757.bmp,1171,801,ship,97,131,402,233
100000757.bmp,1171,801,ship,879,119,931,244
100000757.bmp,1171,801,ship,901,92,985,356
100000757.bmp,1171,801,ship,1018,535,1071,673
100000758.bmp,1106,792,ship,241,520,503,622
100000758.bmp,1106,792,ship,505,446,779,534
100000758.bmp,1106,792,ship,905,420,1030,472
100000758.bmp,1106,792,ship,923,78,1030,373
100000759.bmp,813,554,ship,334,287,697,423
100000760.bmp,1185,821,ship,495,166,569,242
100000760.bmp,1185,821,ship,274,340,334,374
100000760.bmp,1185,821,ship,41,602,105,640
100000760.bmp,1185,821,ship,934,226,971,271
100000760.bmp,1185,821,ship,894,134,1172,384
100000761.bmp,1066,746,ship,365,172,600,459
100000762.bmp,1095,823,ship,80,55,407,357
100000762.bmp,1095,823,ship,202,607,257,688
100000762.bmp,1095,823,ship,234,696,280,780
100000762.bmp,1095,823,ship,309,765,397,805
100000764.bmp,1058,755,ship,112,311,159,649
100000764.bmp,1058,755,ship,104,81,143,187
100000764.bmp,1058,755,ship,151,33,588,83
100000765.bmp,1038,830,ship,410,45,789,96
100000765.bmp,1038,830,ship,831,383,893,742
100000766.bmp,1058,816,ship,707,178,767,516
100000767.bmp,1163,828,ship,547,128,842,600
100000768.bmp,1100,802,ship,610,123,923,635
100000769.bmp,1169,830,ship,797,392,1043,778
100000770.bmp,1166,812,ship,350,253,824,350
100000772.bmp,1134,795,ship,507,294,552,378
100000772.bmp,1134,795,ship,968,718,1051,776
100000772.bmp,1134,795,ship,425,391,637,432
100000772.bmp,1134,795,ship,11,393,354,453
100000775.bmp,924,639,ship,156,259,475,395
100000775.bmp,924,639,ship,609,310,696,343
100000777.bmp,1187,805,ship,105,127,400,472
100000777.bmp,1187,805,ship,642,327,932,532
100000777.bmp,1187,805,ship,947,537,1115,666
100000777.bmp,1187,805,ship,1,514,78,624
100000780.bmp,1134,826,ship,29,298,540,647
100000780.bmp,1134,826,ship,221,478,296,544
100000780.bmp,1134,826,ship,301,644,369,728
100000781.bmp,1160,807,ship,359,145,742,739
100000781.bmp,1160,807,ship,426,100,808,698
100000782.bmp,1169,818,ship,372,204,741,605
100000784.bmp,1116,791,ship,379,307,829,437
100000786.bmp,1158,818,ship,526,181,692,474
100000786.bmp,1158,818,ship,373,480,528,745
100000786.bmp,1158,818,ship,1032,53,1086,126
100000786.bmp,1158,818,ship,1018,145,1072,198
100000786.bmp,1158,818,ship,948,191,1011,244
100000787.bmp,1194,836,ship,236,438,352,522
100000787.bmp,1194,836,ship,388,15,687,260
100000787.bmp,1194,836,ship,690,257,924,445
100000787.bmp,1194,836,ship,912,447,1154,641
100000787.bmp,1194,836,ship,764,360,859,434
100000787.bmp,1194,836,ship,946,514,1036,593
100000787.bmp,1194,836,ship,662,680,906,828
100000788.bmp,1125,755,ship,106,311,235,646
100000788.bmp,1125,755,ship,385,506,711,622
100000788.bmp,1125,755,ship,247,621,377,676
100000791.bmp,913,647,ship,240,290,603,471
100000795.bmp,990,773,ship,512,288,666,652
100000796.bmp,1056,812,ship,335,404,362,441
100000796.bmp,1056,812,ship,487,167,647,588
100000797.bmp,1042,728,ship,361,196,430,564
100000798.bmp,1108,809,ship,241,260,456,655
100000799.bmp,705,593,ship,381,200,465,459
100000801.bmp,1183,811,ship,85,729,418,773
100000801.bmp,1183,811,ship,184,280,501,340
100000801.bmp,1183,811,ship,525,307,835,395
100000801.bmp,1183,811,ship,848,361,1168,429
100000801.bmp,1183,811,ship,750,705,1059,749
100000806.bmp,1195,831,ship,34,111,617,463
100000806.bmp,1195,831,ship,77,182,647,533
100000806.bmp,1195,831,ship,165,499,580,786
100000806.bmp,1195,831,ship,754,74,1149,348
100000808.bmp,1067,790,ship,260,145,404,613
100000809.bmp,1110,806,ship,421,256,776,583
100000810.bmp,1150,802,ship,128,159,624,349
100000813.bmp,1148,807,ship,8,223,329,427
100000813.bmp,1148,807,ship,324,456,513,576
100000813.bmp,1148,807,ship,342,415,635,592
100000813.bmp,1148,807,ship,617,336,924,671
100000813.bmp,1148,807,ship,927,65,1142,326
100000816.bmp,862,791,ship,571,23,751,314
100000816.bmp,862,791,ship,548,153,634,296
100000816.bmp,862,791,ship,561,354,692,749
100000818.bmp,1155,759,ship,25,428,102,588
100000818.bmp,1155,759,ship,155,466,553,602
100000818.bmp,1155,759,ship,581,342,982,484
100000818.bmp,1155,759,ship,1041,271,1155,335
100000819.bmp,799,696,ship,244,288,317,476
100000820.bmp,1170,833,ship,426,24,512,681
100000820.bmp,1170,833,ship,790,377,831,454
100000821.bmp,1123,779,ship,296,180,653,545
100000822.bmp,1099,789,ship,249,293,587,641
100000823.bmp,1115,816,ship,118,263,582,756
100000827.bmp,1188,814,ship,477,486,561,545
100000827.bmp,1188,814,ship,577,483,666,568
100000827.bmp,1188,814,ship,654,562,767,671
100000827.bmp,1188,814,ship,949,417,1064,491
100000827.bmp,1188,814,ship,1071,482,1174,554
100000827.bmp,1188,814,ship,70,324,254,528
100000829.bmp,1160,824,ship,495,142,725,664
100000837.bmp,1075,805,ship,375,72,659,369
100000837.bmp,1075,805,ship,700,411,955,686
100000837.bmp,1075,805,ship,214,1,316,118
100000837.bmp,1075,805,ship,302,1,369,85
100000838.bmp,969,668,ship,307,207,642,548
100000838.bmp,969,668,ship,833,36,911,124
100000838.bmp,969,668,ship,727,99,822,199
100000838.bmp,969,668,ship,757,115,840,224
100000838.bmp,969,668,ship,675,197,741,263
100000838.bmp,969,668,ship,691,217,760,279
100000839.bmp,1171,817,ship,445,115,957,679
100000840.bmp,1170,813,ship,298,16,347,140
100000840.bmp,1170,813,ship,312,185,345,285
100000840.bmp,1170,813,ship,149,365,173,392
100000840.bmp,1170,813,ship,698,487,766,712
100000840.bmp,1170,813,ship,351,302,372,351
100000840.bmp,1170,813,ship,310,299,332,348
100000840.bmp,1170,813,ship,342,371,366,406
100000840.bmp,1170,813,ship,558,137,584,235
100000840.bmp,1170,813,ship,599,218,639,341
100000840.bmp,1170,813,ship,393,172,419,265
100000841.bmp,1194,836,ship,334,94,958,456
100000841.bmp,1194,836,ship,134,388,705,710
100000841.bmp,1194,836,ship,1092,510,1183,551
100000841.bmp,1194,836,ship,1081,552,1168,593
100000843.bmp,1133,769,ship,333,273,725,508
100000847.bmp,1167,827,ship,485,158,532,472
100000847.bmp,1167,827,ship,475,478,535,794
100000847.bmp,1167,827,ship,155,23,515,114
100000851.bmp,1067,770,ship,425,347,657,611
100000851.bmp,1067,770,ship,767,163,871,264
100000851.bmp,1067,770,ship,715,277,791,334
100000851.bmp,1067,770,ship,750,284,820,354
100000852.bmp,1174,823,ship,334,50,844,617
100000853.bmp,1120,807,ship,230,575,313,673
100000853.bmp,1120,807,ship,180,620,255,686
100000853.bmp,1120,807,ship,255,671,348,762
100000859.bmp,1177,821,ship,62,402,473,529
100000859.bmp,1177,821,ship,473,486,796,581
100000859.bmp,1177,821,ship,817,559,1140,674
100000859.bmp,1177,821,ship,95,40,152,405
100000860.bmp,1055,755,ship,705,314,1018,365
100000860.bmp,1055,755,ship,705,365,1033,413
100000860.bmp,1055,755,ship,370,343,697,412
100000860.bmp,1055,755,ship,32,287,367,351
100000860.bmp,1055,755,ship,33,329,367,397
100000861.bmp,1165,823,ship,67,445,392,772
100000861.bmp,1165,823,ship,504,368,821,666
100000861.bmp,1165,823,ship,842,97,1125,363
100000864.bmp,1111,793,ship,249,143,561,480
100000866.bmp,1179,825,ship,156,97,777,412
100000866.bmp,1179,825,ship,269,403,902,719
100000868.bmp,1166,804,ship,434,230,748,580
100000869.bmp,1156,817,ship,363,201,485,624
100000870.bmp,1177,827,ship,610,169,713,608
100000872.bmp,1189,835,ship,298,80,962,470
100000872.bmp,1189,835,ship,458,385,1107,750
100000874.bmp,1144,820,ship,529,155,890,602
100000875.bmp,1183,836,ship,730,165,890,765
100000875.bmp,1183,836,ship,535,133,673,640
100000875.bmp,1183,836,ship,434,93,578,596
100000875.bmp,1183,836,ship,349,79,498,596
100000877.bmp,892,669,ship,411,262,661,320
100000878.bmp,947,677,ship,239,138,667,411
100000879.bmp,1025,775,ship,172,142,554,409
100000880.bmp,1113,800,ship,450,130,979,479
100000882.bmp,1192,833,ship,414,46,1121,289
100000882.bmp,1192,833,ship,95,600,639,774
100000883.bmp,586,527,ship,269,171,341,206
100000883.bmp,586,527,ship,365,192,434,227
100000883.bmp,586,527,ship,446,196,517,242
100000883.bmp,586,527,ship,263,218,334,252
100000883.bmp,586,527,ship,436,244,523,280
100000883.bmp,586,527,ship,394,416,469,456
100000884.bmp,1187,795,ship,111,478,619,626
100000884.bmp,1187,795,ship,584,225,1028,352
100000885.bmp,1178,829,ship,201,180,578,253
100000885.bmp,1178,829,ship,684,151,1065,233
100000885.bmp,1178,829,ship,689,39,1056,110
100000885.bmp,1178,829,ship,126,622,487,695
100000885.bmp,1178,829,ship,706,594,1076,660
100000885.bmp,1178,829,ship,756,710,1122,776
100000886.bmp,1179,819,ship,181,498,596,555
100000886.bmp,1179,819,ship,192,274,561,339
100000886.bmp,1179,819,ship,198,158,566,226
100000886.bmp,1179,819,ship,692,244,1066,318
100000887.bmp,1164,819,ship,189,576,549,646
100000887.bmp,1164,819,ship,636,664,1062,730
100000888.bmp,1186,828,ship,240,499,874,632
100000888.bmp,1186,828,ship,226,219,555,275
100000888.bmp,1186,828,ship,170,128,540,198
100000888.bmp,1186,828,ship,675,89,1041,173
100000891.bmp,1163,816,ship,588,125,882,395
100000891.bmp,1163,816,ship,253,443,551,714
100000893.bmp,1028,779,ship,386,243,622,415
100000895.bmp,1169,819,ship,588,450,693,626
100000895.bmp,1169,819,ship,547,561,586,604
100000895.bmp,1169,819,ship,541,639,583,684
100000895.bmp,1169,819,ship,577,684,603,729
100000896.bmp,1165,829,ship,841,442,903,606
100000897.bmp,946,734,ship,417,367,890,448
100000899.bmp,1170,823,ship,175,257,579,527
100000899.bmp,1170,823,ship,758,188,1025,583
100000900.bmp,1180,828,ship,767,282,807,363
100000900.bmp,1180,828,ship,99,251,418,456
100000901.bmp,481,411,ship,161,269,190,352
100000902.bmp,1001,681,ship,591,172,744,507
100000903.bmp,1094,735,ship,386,226,799,380
100000905.bmp,1025,718,ship,301,236,714,364
100000906.bmp,1188,832,ship,475,129,780,786
100000908.bmp,1158,831,ship,546,361,566,386
100000908.bmp,1158,831,ship,544,334,603,374
100000910.bmp,1067,800,ship,530,114,649,447
100000910.bmp,1067,800,ship,274,240,466,708
100000911.bmp,1158,819,ship,144,71,333,550
100000911.bmp,1158,819,ship,847,115,1052,595
100000915.bmp,1179,829,ship,288,36,334,381
100000915.bmp,1179,829,ship,277,453,322,790
100000915.bmp,1179,829,ship,357,456,422,767
100000915.bmp,1179,829,ship,795,19,851,323
100000915.bmp,1179,829,ship,1032,208,1122,739
100000916.bmp,1136,771,ship,121,222,164,441
100000917.bmp,1189,829,ship,384,38,732,136
100000918.bmp,783,621,ship,177,174,412,277
100000918.bmp,783,621,ship,548,267,588,311
100000921.bmp,1159,804,ship,656,231,917,509
100000921.bmp,1159,804,ship,583,249,858,542
100000921.bmp,1159,804,ship,536,338,813,627
100000922.bmp,1164,815,ship,279,505,885,744
100000922.bmp,1164,815,ship,323,65,611,563
100000922.bmp,1164,815,ship,383,563,464,599
100000922.bmp,1164,815,ship,654,354,689,376
100000922.bmp,1164,815,ship,985,399,1047,434
100000923.bmp,1170,815,ship,121,438,163,462
100000923.bmp,1170,815,ship,165,436,232,465
100000923.bmp,1170,815,ship,912,366,928,426
100000923.bmp,1170,815,ship,610,372,651,392
100000924.bmp,1132,772,ship,267,242,590,323
100000926.bmp,705,681,ship,198,108,289,176
100000928.bmp,1101,829,ship,512,119,712,773
100000928.bmp,1101,829,ship,30,1,459,468
100000930.bmp,1089,796,ship,365,160,841,612
100000932.bmp,1144,826,ship,377,414,942,604
100000932.bmp,1144,826,ship,362,335,925,532
100000932.bmp,1144,826,ship,431,239,922,407
100000932.bmp,1144,826,ship,339,154,909,349
100000933.bmp,1157,833,ship,485,55,678,375
100000933.bmp,1157,833,ship,412,134,589,427
100000933.bmp,1157,833,ship,683,486,837,743
100000933.bmp,1157,833,ship,604,513,747,778
100000935.bmp,1179,840,ship,134,567,524,783
100000935.bmp,1179,840,ship,489,290,715,435
100000935.bmp,1179,840,ship,720,381,929,508
100000936.bmp,1051,735,ship,215,311,617,508
100000936.bmp,1051,735,ship,247,206,634,376
100000937.bmp,1098,743,ship,282,142,754,524
100000937.bmp,1098,743,ship,587,257,878,472
100000940.bmp,1137,815,ship,177,26,406,712
100000941.bmp,1152,826,ship,328,442,721,560
100000941.bmp,1152,826,ship,319,518,701,637
100000941.bmp,1152,826,ship,304,569,699,685
100000943.bmp,1076,759,ship,327,297,798,453
100000943.bmp,1076,759,ship,121,554,189,624
100000944.bmp,1170,825,ship,368,278,847,706
100000944.bmp,1170,825,ship,407,339,888,759
100000947.bmp,969,784,ship,366,154,404,179
100000947.bmp,969,784,ship,422,198,673,316
100000948.bmp,754,658,ship,387,175,631,262
100000949.bmp,1178,826,ship,542,147,942,578
100000953.bmp,1176,824,ship,341,466,762,791
100000953.bmp,1176,824,ship,477,418,766,629
100000953.bmp,1176,824,ship,111,142,393,362
100000953.bmp,1176,824,ship,710,69,998,283
100000955.bmp,1125,772,ship,545,620,586,655
100000955.bmp,1125,772,ship,343,498,420,554
100000956.bmp,1183,837,ship,236,426,745,819
100000956.bmp,1183,837,ship,440,89,639,242
100000958.bmp,907,664,ship,169,407,240,454
100000960.bmp,923,687,ship,424,276,568,387
100000960.bmp,923,687,ship,629,358,775,472
100000960.bmp,923,687,ship,668,267,820,383
100000960.bmp,923,687,ship,538,561,579,612
100000960.bmp,923,687,ship,462,637,515,687
100000960.bmp,923,687,ship,712,546,737,570
100000961.bmp,1143,801,ship,568,161,856,631
100000962.bmp,1172,830,ship,325,659,554,748
100000962.bmp,1172,830,ship,567,649,815,718
100000962.bmp,1172,830,ship,600,314,1049,397
100000962.bmp,1172,830,ship,252,348,584,404
100000962.bmp,1172,830,ship,290,250,634,323
100000963.bmp,1162,802,ship,387,217,801,334
100000963.bmp,1162,802,ship,379,295,790,421
100000963.bmp,1162,802,ship,403,396,821,508
100000964.bmp,1168,819,ship,206,114,471,615
100000964.bmp,1168,819,ship,484,220,519,233
100000964.bmp,1168,819,ship,499,250,523,263
100000964.bmp,1168,819,ship,534,508,559,588
100000966.bmp,1176,833,ship,235,273,318,430
100000966.bmp,1176,833,ship,382,398,463,705
100000966.bmp,1176,833,ship,529,427,593,591
100000966.bmp,1176,833,ship,353,40,532,430
100000966.bmp,1176,833,ship,1070,70,1093,150
100000966.bmp,1176,833,ship,1077,169,1116,210
100000966.bmp,1176,833,ship,1060,143,1083,221
100000966.bmp,1176,833,ship,1144,63,1170,105
100000966.bmp,1176,833,ship,451,363,578,760
100000968.bmp,1161,814,ship,347,71,623,536
100000968.bmp,1161,814,ship,152,93,469,605
100000969.bmp,1168,815,ship,292,462,561,693
100000969.bmp,1168,815,ship,122,444,482,747
100000969.bmp,1168,815,ship,625,272,743,382
100000969.bmp,1168,815,ship,376,71,654,339
100000969.bmp,1168,815,ship,351,358,457,440
100000972.bmp,1155,815,ship,290,300,700,372
100000972.bmp,1155,815,ship,280,381,687,454
100000973.bmp,1178,824,ship,224,42,602,511
100000973.bmp,1178,824,ship,299,117,686,581
100000973.bmp,1178,824,ship,351,187,742,636
100000973.bmp,1178,824,ship,577,303,933,762
100000973.bmp,1178,824,ship,629,274,837,526
100000974.bmp,826,653,ship,271,168,633,395
100000976.bmp,886,712,ship,470,333,548,411
100000976.bmp,886,712,ship,423,176,632,387
100000977.bmp,972,762,ship,301,143,628,361
100000978.bmp,1155,821,ship,359,59,795,607
100000978.bmp,1155,821,ship,209,1,336,159
100000978.bmp,1155,821,ship,490,341,862,771
100000979.bmp,1160,819,ship,395,101,683,451
100000979.bmp,1160,819,ship,568,369,977,819
100000980.bmp,1193,831,ship,107,172,341,462
100000980.bmp,1193,831,ship,409,457,606,706
100000980.bmp,1193,831,ship,503,377,836,801
100000980.bmp,1193,831,ship,765,238,1116,669
100000980.bmp,1193,831,ship,692,600,746,659
100000981.bmp,1177,823,ship,247,241,417,571
100000981.bmp,1177,823,ship,643,391,816,723
100000981.bmp,1177,823,ship,752,437,912,777
100000981.bmp,1177,823,ship,922,1,1134,383
100000981.bmp,1177,823,ship,573,7,641,40
100000982.bmp,1154,830,ship,154,196,315,521
100000982.bmp,1154,830,ship,242,262,411,578
100000982.bmp,1154,830,ship,395,469,449,486
100000982.bmp,1154,830,ship,128,691,232,830
100000982.bmp,1154,830,ship,750,380,991,830
100000985.bmp,1035,828,ship,162,234,337,598
100000986.bmp,1180,811,ship,91,205,362,728
100000987.bmp,1174,829,ship,404,430,976,703
100000988.bmp,733,652,ship,391,434,443,521
100000990.bmp,1162,809,ship,363,189,770,518
100000992.bmp,1154,814,ship,297,99,399,277
100000992.bmp,1154,814,ship,201,299,291,473
100000992.bmp,1154,814,ship,355,371,445,540
